Senhores	Senhores	NP00000	senhores
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
botasem	botassem	PP3CSD00	lhe
tomperos	temperos	SPS00	temperos
nenhus	nenhuns	DI0MP0	nenhum
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
botou	botou	VMIS3S0	botar
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
o	o	DA0MS0	o
Caldo	caldo	NCMS000	caldo
dela	dela	SPS00+PP3FS000	de+ele
em	em	SPS00	em
hum	um	DI0MS0	um
alguidar	alguidar	NCMS000	alguidar
	,	Fc	,
eu	eu	PP1CSN00	eu
q	que	CS	que
me	me	PP1CS000	me
metese	metesse	VMSI0S0	meter
dentro	dentro	RG	dentro
nele	nele	SPS00+PP3MS000	em+ele
e	e	CC	e
ella	ela	PP3FS000	ele
tomou	tomou	VMIS3S0	tomar
hum	um	DI0MS0	um
panno	pano	NCMS000	pano
	,	Fc	,
o	o	DA0MS0	o
molhava	molhava	DA0MS0	o
dentro	dentro	RG	dentro
no	no	SPS00+DA0MS0	em+o
alguidar	alguidar	NCMS000	alguidar
e	e	CC	e
com	com	SPS00	com
ele	ele	PP3MS000	ele
me	me	PP1CS000	me
chapinhava	chapinhava	VMIP3S0	chapinhavar
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
Corpo	corpo	NCMS000	corpo
	.	Fp	.
Comesou	Começou	VMIS3S0	começar
pelos	pelos	SPS00+DA0MP0	por+o
pes	pés	NCMP000	pé
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
pelo	pelo	SPS00+DA0MS0	por+o
Corpo	corpo	NCMS000	corpo
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
aCabar	acabar	VMN0000	acabar
nos	nos	SPS00+DA0MP0	em+o
brasos	braços	NCMP000	braço
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
a	a	DA0FS0	o
galinha	galinha	NCFS000	galinha
e	e	CC	e
q	que	CS	que
a	a	PP3FSA00	o
emsopasem	ensopassem	PP3FSA00	o
o	ou	CC	ou
asasem	assassem	CC	ou
e	e	CC	e
eu	eu	PP1CSN00	eu
q	que	CS	que
a	a	PP3FSA00	o
comese	comesse	RG	comesse
toda	toda	DI0FS0	todo
e	e	CC	e
q	que	CS	que
ninguem	ninguém	PI0NN00N	ninguém
dela	dela	SPS00+PP3FS000	de+ele
me	me	PP1CS000	me
comese	comesse	RG	comesse
nada	nada	PI0NN00N	nada
	.	Fp	.
e	E	CC	e
tendo	tendo	VMG0000	ter
estas	estas	DD0FP0	este
galinhas	galinhas	NCFP000	galinha
alguns	alguns	DI0MP0	algum
boCados	bocados	NCMP000	bocado
de	de	SPS00	de
penas	penas	NCFP000	pena
brancas	brancas	AQ0FP0	branco
	,	Fc	,
ella	ela	PP3FS000	ele
lhas	lhas	PP3CSD00+PP3FPA00	lhe+o
mandava	mandava	VMII0S0	mandar
cortar	cortar	VMN0000	cortar
antes	antes	RG	antes
q	que	CS	que
com	com	SPS00	com
ellas	elas	PP3FP000	ele
fizese	fizesse	VMSI0S0	fazer
as	as	DA0FP0	o
mezinhas	mezinhas	NCFP000	mezinha
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
a	a	SPS00	a
os	uns	DI0MP0	um
dias	dias	NCMP000	dia
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
pela	pela	SPS00+DA0FS0	por+o
madrugada	madrugada	NCFS000	madrugada
puzesem	pusessem	VMSI3P0	pôr
hum	um	DI0MS0	um
tacho	tacho	NCMS000	um
d	du	SPS00	de
agoa	água	NCFS000	água
ao	ao	SPS00+DA0MS0	a+o
lume	lume	NCMS000	lume
e	e	CC	e
tanto	tanto	RC	tanto
q	que	CS	que
ella	ela	PP3FS000	ele
frovese	fervesse	PP3FS000	ele
a	a	PP3FSA00	o
fosem	fossem	VMSI3P0	ir
botar	botar	VMN0000	botar
pelo	pelo	SPS00+DA0MS0	por+o
Robate	rebato	NCMS000	rebato
da	da	SPS00+DA0FS0	de+o
porta	porta	NCFS000	porta
sem	sem	SPS00	sem
q	que	CS	que
ninguem	ninguém	PI0NN00N	ninguém
aha	a	SPS00	a
vise	visse	VMSI0S0	ver
botar	botar	VMN0000	botar
	.	Fp	.
e	E	CC	e
	,	Fc	,
ahinda	ainda	RG	ainda
q	que	CS	que
cahise	caísse	VMSI0S0	caír
alguma	alguma	DI0FS0	algum
pela	pela	SPS00+DA0FS0	por+o
logia	loja	NCFS000	loja
	,	Fc	,
q	que	CS	que
não	não	RN	não
emprotava	importava	VMII0S0	importar
	.	Fp	.
e	E	CC	e
pela	pela	SPS00+DA0FS0	por+o
minhem	manhã	NCFS000	manhã
a	a	DA0FS0	o
primeira	primeira	NCFS000	primeira
pesoa	pessoa	NCFS000	pessoa
q	que	CS	que
sahise	saísse	VMSI0S0	sair
pela	pela	SPS00+DA0FS0	por+o
porta	porta	NCFS000	porta
fora	fora	SPS00	fora
q	que	CS	que
fose	fosse	VMSI0S0	ir
eu	eu	PP1CSN00	eu
	.	Fp	.
ella	Ela	PP3FS000	ele
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
trazer	trazer	VMN0000	trazer
hum	um	DI0MS0	um
poCo	pouco	NCMS000	pouco
de	de	SPS00	de
tempo	tempo	NCMS000	tempo
hua	uma	DI0FS0	um
mea	meia	AQ0FS0	meia
Calsada	calçada	NCFS000	calçada
du	do	SPS00+DA0MS0	de+o
aveso	avesso	NCMS000	avesso
e	e	CC	e
a	a	SPS00	a
outra	outra	DI0FS0	outro
mea	meia	AQ0FS0	meia
Calsada	calçada	NCFS000	calçada
do	do	SPS00+DA0MS0	de+o
direito	direito	NCMS000	direito
	.	Fp	.
e	E	CC	e
ela	ela	PP3FS000	ele
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
me	me	PP1CS000	me
fose	fosse	VMSI0S0	ir
benzer	benzer	VMN0000	benzer
a	a	SPS00	a
Sto	Santo	NP00000	santo
Anto	António	NP00000	antónio
e	e	CC	e
me	me	PP1CS000	me
dei	deu	VMIS3S0	dar
o	o	DA0MS0	o
nome	nome	NCMS000	nome
de	de	SPS00	de
hum	um	DI0MS0	um
frade	frade	NCMS000	frade
a	a	SPS00	a
quem	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
havia	havia	VMII0S0	haver
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
Chamar	chamar	VMN0000	chamar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
disese	dissesse	VMSI0S0	dizer
a	a	SPS00	a
elle	ele	PP3MS000	ele
q	que	CS	que
me	me	PP1CS000	me
disera	dissera	VMIM0S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
me	me	PP1CS000	me
benzese	benzesse	PP1CS000	me
elle	ele	PP3MS000	ele
e	e	CC	e
q	que	CS	que
me	me	PP1CS000	me
lese	lesse	VMSI0S0	ler
os	os	DA0MP0	o
asismes	missais	NCMP000	missai
dobrados	dobrados	VMP00PM	dobrar
	,	Fc	,
Com	com	SPS00	com
q	que	CS	que
este	este	DD0MS0	este
frade	frade	NCMS000	frade
não	não	RN	não
se	se	P00CN000	se
Chamou	chamou	VMIS3S0	chamar
senão	senão	CC	senão
a	a	SPS00	a
outro	outro	DI0MS0	outro
q	que	PR0CN000	que
me	me	PP1CS000	me
veio	veio	VMIS3S0	vir
benzer	benzer	VMN0000	benzer
	.	Fp	.
depois	Depois	RG	depois
de	de	SPS00	de
eu	eu	PP1CSN00	eu
vir	vir	VMN0000	vir
de	de	SPS00	de
Sto	Santo	NP00000	santo
Anto	António	NP00000	antónio
pa	para	SPS00	para
Caza	casa	NCFS000	casa
	,	Fc	,
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
não	não	RN	não
trouxese	trouxesse	VMSI0S0	trazer
eu	eu	PP1CSN00	eu
ja	já	RG	já
a	a	DA0FS0	o
mea	meia	AQ0FS0	meia
Calsada	calçada	NCFS000	calçada
do	do	SPS00+DA0MS0	de+o
aveso	avesso	NCMS000	avesso
e	e	CC	e
q	que	CS	que
eu	eu	PP1CSN00	eu
avia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
a	a	SPS00	a
Sto	Santo	NP00000	santo
Anto	António	NP00000	antónio
sinco	cinco	Z	cinco
vezes	vezes	NCFP000	vez
a	a	SPS00	a
benzerzerme	benzer-me	SPS00	a
e	e	CC	e
eu	eu	PP1CSN00	eu
so	só	RG	só
duas	duas	Z	duas
vezes	vezes	NCFP000	vez
la	lá	RG	lá
fou	foi	VMIS3S0	ir
e	e	CC	e
ella	ela	PP3FS000	ele
disse	disse	VMIS3S0	dizer
q	que	CS	que
me	me	PP1CS000	me
havia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
hua	uma	DI0FS0	um
mezinha	mezinha	NCFS000	mezinha
Com	com	SPS00	com
as	as	DA0FP0	o
ervas	ervas	NCFP000	erva
do	do	SPS00+DA0MS0	de+o
aipo	aipo	NCMS000	aipo
e	e	CC	e
agriois	agriões	NCFP000	agrião
e	e	CC	e
q	que	CS	que
hera	era	VSII0S0	ser
ja	já	RG	já
a	a	DA0FS0	o
lutima	última	NCFS000	último
mezimnha	mezinha	NCFS000	mezinha
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
havia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
esta	esta	DD0FS0	este
mezinha	mezinha	NCFS000	mezinha
não	não	RN	não
fes	fez	VMIS3S0	fazer
e	e	CC	e
dise	disse	VMIS3S0	dizer
eu	eu	PP1CSN00	eu
em	em	SPS00	em
huma	uma	DI0FS0	um
oCaziam	ocasião	NCFS000	ocasião
a	a	SPS00	a
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
não	não	RN	não
achava	achava	VMII0S0	achar
bem	bem	RG	bem
deste	deste	SPS00+DD0MS0	de+este
aChaque	achaque	NCMS000	achaque
do	do	SPS00+DA0MS0	de+o
Corasão	coração	NCMS000	coração
e	e	CC	e
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	:	Fp	:
	&quot;	VMN0000	&quot;
eu	eu	PP1CSN00	eu
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
q	que	CS	que
ha	há	VMIP3S0	haver
de	de	SPS00	de
milhorar	melhorar	VMN0000	melhorar
em	em	SPS00	em
hum	um	DI0MS0	um
mes	mês	NCMS000	mês
nem	nem	CC	nem
em	em	SPS00	em
dous	dois	Z	dois
mezes	meses	NCMP000	mês
	,	Fc	,
nem	nem	CC	nem
em	em	SPS00	em
coatro	quatro	Z	quatro
	,	Fc	,
nem	nem	CC	nem
num	num	SPS00+DI0MS0	em+um
anno	ano	NCMS000	ano
	,	Fc	,
mas	mas	CC	mais
só	só	RG	só
lhe	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
q	que	CS	que
ha	há	VMIP3S0	haver
de	de	SPS00	de
fiCar	ficar	VMN0000	ficar
sam	sã	AQ0FS0	são
dele	dele	SPS00+PP3MS000	de+ele
e	e	CC	e
elle	ele	PP3MS000	ele
ha	há	VMIP3S0	haver
de	de	SPS00	de
preseguir	perseguir	VMN0000	perseguir
athe	até	SPS00	até
ultima	última	NCFS000	último
mezinha	mezinha	NCFS000	mezinha
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
deu	deu	VMIS3S0	dar
ao	ao	SPS00+DA0MS0	a+o
presipio	princípio	NCMS000	princípio
	&quot;	VMN0000	&quot;
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
dise	disse	VMIS3S0	dizer
em	em	SPS00	em
outra	outra	DI0FS0	outro
oCaziam	ocasião	NCFS000	ocasião
a	a	SPS00	a
benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
q	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
me	me	PP1CS000	me
aChava	achava	VMII0S0	achar
bem	bem	RG	bem
deste	deste	SPS00+DD0MS0	de+este
aChaque	achaque	NCMS000	achaque
do	do	SPS00+DA0MS0	de+o
Corasam	coração	NCMS000	coração
e	e	CC	e
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
q	que	CS	que
a	a	SPS00	a
mim	mim	PP1CSO00	mim
me	me	PP1CS000	me
tinham	tinham	VMII3P0	ter
dobrado	dobrado	VMP00SM	dobrar
o	o	DA0MS0	o
mal	mal	NCMS000	mal
	,	Fc	,
porq	porque	CS	porque
o	o	PP3MSA00	o
tornaram	tornaram	VMIS3P0	tornar
a	a	SPS00	a
prisipiar	principiar	VMN0000	principiar
ahonde	aonde	PA000000	onde
o	o	PP3MSA00	o
tinham	tinham	VMII3P0	ter
ja	já	RG	já
Comesado	começado	VMP00SM	começar
e	e	CC	e
q	que	CS	que
	,	Fc	,
se	se	CS	se
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
metera	metera	VMIM0S0	meter
nas	nas	SPS00+DA0FP0	em+o
mans	mãos	NCFP000	mão
do	do	SPS00+DA0MS0	de+o
mediCo	médico	NCMS000	médico
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
botava	botava	PP1CS000	me
na	na	SPS00+DA0FS0	em+o
Cova	cova	NCFS000	cova
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
fiquei	fiquei	VMIS1S0	ficar
sam	sã	AQ0FS0	são
d	da	SPS00	de
alguns	alguns	DI0MP0	algum
aChaques	achaques	NCMP000	achaque
mas	mas	CC	mais
não	não	RN	não
fiquei	fiquei	VMIS1S0	ficar
sam	sã	AQ0FS0	são
daquele	daquele	SPS00+DD0MS0	de+aquele
q	que	PR0CN000	que
a	a	SPS00	a
mim	mim	PP1CSO00	mim
me	me	PP1CS000	me
presegue	persegue	VMIP3S0	perseguir
o	o	DA0MS0	o
Corasam	coração	NCMS000	coração
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
Benta	Benta	NP00000	benta
de	de	SPS00	de
Silva	Silva	NP00000	silva
he	é	VSIP3S0	ser
molher	mulher	NCFS000	mulher
de	de	SPS00	de
Lourenso	Lourenço	NP00000	lourenço
pimitel	Pimentel	NP00000	pimentel
	,	Fc	,
Crapinteiro	carpinteiro	NCMS000	carpinteiro
	,	Fc	,
e	e	CC	e
moradores	moradores	NCMP000	morador
em	em	SPS00	em
humas	umas	DI0FP0	um
Cazas	casas	NCFP000	casa
ao	ao	SPS00+DA0MS0	a+o
Cais	cais	NCMS000	cais
e	e	CC	e
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
mais	mais	CC	mais
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
	,	Fc	,
emquanto	enquanto	CS	enquanto
nos	nós	PP1CP000	nós
estivesimos	estivéssemos	VMSI1P0	estar
nas	nas	SPS00+DA0FP0	em+o
Cazas	casas	NCFP000	casa
em	em	SPS00	em
q	que	PR0CN000	que
estamos	estamos	VMIP1P0	estar
	,	Fc	,
q	que	CS	que
nunca	nunca	RN	nunca
haviimos	havíamos	VMII1P0	haver
de	de	SPS00	de
	,	Fc	,
nem	nem	CC	nem
hir	ir	VMN0000	ir
por	por	SPS00	por
diante	diante	RG	diante
	,	Fc	,
mas	mas	CC	mais
antes	antes	RG	antes
tudo	tudo	PI0NN000	tudo
se	se	CS	se
nos	nos	PP1CP000	nos
havia	havia	VMII0S0	haver
de	de	SPS00	de
somir	sumir	VMN0000	sumir
	,	Fc	,
por	por	SPS00	por
terem	terem	VMN03P0	ter
as	as	DA0FP0	o
Cazas	casas	NCFP000	casa
porta	porta	NCFS000	porta
d	da	SPS00+DA0FS0	de+o
arco	arco	NCMS000	arco
	.	Fp	.
ainda	Ainda	RG	ainda
q	que	CS	que
a	a	SPS00	a
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
diseram	disseram	VMIS3P0	dizer
q	que	CS	que
fose	fosse	VMSI0S0	ir
pa	para	SPS00	para
elas	elas	PP3FP000	ele
q	que	CS	que
lhas	lhas	PP3CSD00+PP3FPA00	lhe+o
davam	davam	VMII3P0	dar
dadas	dadas	VMP00PF	dar
	,	Fc	,
as	as	DA0MS0	o
não	não	RN	não
queria	queria	VMII0S0	querer
não	não	RN	não
hir	ir	VMN0000	ir
pa	para	SPS00	para
elas	elas	PP3FP000	ele
porq	porque	CS	porque
o	o	DA0MS0	o
q	que	PR0CN000	que
andava	andava	VMII0S0	andar
nelas	nelas	SPS00+PP3FP000	em+ele
q	que	CS	que
hiso	isso	PD0NN000	isso
não	não	RN	não
dizia	dizia	VMII0S0	dizer
ella	ela	PP3FS000	ele
	.	Fp	.
ella	Ela	PP3FS000	ele
tambem	também	RG	também
Corou	curou	VMIS3S0	curar
a	a	SPS00	a
meu	meu	DP1MSS	meu
Thio	tio	NCMS000	tio
manoel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
e	e	CC	e
dizia	dizia	VMII0S0	dizer
a	a	SPS00	a
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
Luzia	Luzia	NP00000	luzia
gomes	Gomes	NP00000	gomes
	,	Fc	,
molher	mulher	NCFS000	mulher
q	que	PR0CN000	que
fou	foi	VMIS3S0	ir
deste	deste	SPS00+DD0MS0	de+este
meu	meu	DP1MSS	meu
Thio	tio	NCMS000	tio
manoel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
cunha	Cunha	NP00000	cunha
	,	Fc	,
as	as	DA0FP0	o
mezinhas	mezinhas	NCFP000	mezinha
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
havia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
e	E	CC	e
	,	Fc	,
depois	depois	RG	depois
q	que	CS	que
morreu	morreu	VMIS3S0	morrer
meu	meu	DP1MSS	meu
Thio	tio	NCMS000	tio
manoel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
	,	Fc	,
dise	disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
elle	ele	PP3MS000	ele
tinha	tinha	VMII0S0	ter
hum	um	DI0MS0	um
bocado	bocado	NCMS000	bocado
entre	entre	SPS00	entre
a	a	DA0FS0	o
vea	via	NCFS000	via
alteria	artéria	NCFS000	artéria
e	e	CC	e
entre	entre	SPS00	entre
o	o	DA0MS0	o
Corasam	coração	NCMS000	coração
	,	Fc	,
com	com	SPS00	com
hum	um	DI0MS0	um
fio	fio	NCMS000	fio
	,	Fc	,
e	e	CC	e
huma	uma	DI0FS0	um
mosa	moça	NCFS000	moça
q	que	PR0CN000	que
tinha	tinha	VAII0S0	ter
morrido	morrido	VMP0000	morrer
em	em	SPS00	em
caza	casa	NCFS000	casa
desta	desta	SPS00+DD0FS0	de+este
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
esta	esta	DD0FS0	este
molher	mulher	NCFS000	mulher
Chupavam	chupavam	NCFS000	mulher
o	o	DA0MS0	o
sangue	sangue	NCMS000	sangue
e	e	CC	e
o	o	DA0MS0	o
tornavam	tornavam	VMII3P0	tornar
a	a	SPS00	a
vomitar	vomitar	VMN0000	vomitar
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
mim	mim	PP1CSO00	mim
deu	deu	VMIS3S0	dar
ella	ela	PP3FS000	ele
a	a	SPS00	a
etender	entender	VMN0000	entender
q	que	CS	que
me	me	PP1CS000	me
fizeram	fizeram	VMIS3P0	fazer
mal	mal	RG	mal
pelos	pelos	SPS00+DA0MP0	por+o
pes	pés	NCMP000	pé
	.	Fp	.
dise	Disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
eu	eu	PP1CSN00	eu
bem	bem	RG	bem
Conhesia	conhecia	VMII0S0	conhecer
a	a	DA0FS0	o
pesoa	pessoa	NCFS000	pessoa
q	que	PR0CN000	que
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
mal	mal	NCMS000	mal
	,	Fc	,
mas	mas	CC	mais
pa	para	SPS00	para
q	que	PR0CN000	que
queria	queria	VMII0S0	querer
eu	eu	PP1CSN00	eu
saber	saber	VMN0000	saber
quem	quem	PR0CN000	quem
ella	ela	PP3FS000	ele
hera	era	VMIP3S0	era
porq	porque	CS	porque
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
não	não	RN	não
podia	podia	VMII0S0	poder
desfazer	desfazer	VMN0000	desfazer
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
tinha	tinha	VAII0S0	ter
feito	feito	NCMS000	feito
e	e	CC	e
	,	Fc	,
por	por	SPS00	por
huma	uma	DI0FS0	um
palavra	palavra	NCFS000	palavra
	,	Fc	,
q	que	CS	que
gente	gente	NCFS000	gente
de	de	SPS00	de
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
disera	dissera	VMIM0S0	dizer
a	a	SPS00	a
esta	esta	DD0FS0	este
pesoa	pessoa	NCFS000	pessoa
q	que	PR0CN000	que
fou	foi	VMIS3S0	ir
a	a	DA0FS0	o
Cauza	causa	NCFS000	causa
por	por	SPS00	por
q	que	PR0CN000	que
esta	esta	DD0FS0	este
pesoa	pessoa	NCFS000	pessoa
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
mal	mal	NCMS000	mal
	.	Fp	.
Com	Com	SPS00	com
q	que	CS	que
a	a	SPS00	a
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
poder lhe ha	poder-lhe-á	NCFS000	poder-lhe-ar
esqueser	esquecer	VMN0000	esquecer
estas	estas	DD0FP0	este
Couzas	coisas	NCFP000	coisa
q	que	PR0CN000	que
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
a	a	SPS00	a
ella	ela	PP3FS000	ele
o	ou	CC	ou
algumas	algumas	DI0FP0	algum
Couzas	coisas	NCFP000	coisa
dellas	delas	SPS00+PP3FP000	de+ele
	.	Fp	.
hoje	Hoje	RG	hoje
	,	Fc	,
vinte	vinte	Z	vinte
e	e	CC	e
dous	dois	Z	dois
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
fevereiro	fevereiro	NCMS000	fevereiro
de	de	SPS00	de
mil	mil	Z	mil
e	e	CC	e
setesentos	setecentos	Z	setecentos
e	e	CC	e
dezaseis	dezasseis	Z	dezasseis
annos	anos	NCMP000	ano
Thereza	Teresa	NP00000	teresa
Maria	Maria	NP00000	maria
de	de	SPS00	de
S	São	NP00000	são
Jozeph	José	NP00000	josé
	,	Fc	,
filha	filha	NCFS000	filho
de	de	SPS00	de
Anto	António	NP00000	antónio
gomes	Gomes	NP00000	gomes
moura	Moura	NP00000	moura
morta	Morta	VMP00SF	morrer
	,	Fc	,
moradores	moradores	NCMP000	morador
na	na	SPS00+DA0FS0	em+o
Rua	Rua	NP00000	rua
de	de	SPS00	de
CruChe	Coruche	NP00000	Coruche
e	E	CC	e
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	:	Fd	:
	&quot;	Fe	&quot;
olhe	olhe	VMSP0S0	olhar
	,	Fc	,
Sra	senhora	NP00000	senhor
Luzia	Luzia	NP00000	luzia
gomes	Gomes	NP00000	gomes
	,	Fc	,
q	que	CS	que
quem	quem	PR0CN000	quem
desfas	desfaz	VMIP3S0	desfazer
tambem	também	RG	também
fas	faz	VMIP3S0	fazer
	!	Fp	!
	&quot;	VMN0000	&quot;
	.	Fp	.
e	E	CC	e
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	:	Fp	:
	&quot;	VMN0000	&quot;
tera	terá	VMIF3S0	ter
salvasam	salvação	NCFS000	salvação
duas	duas	Z	duas
pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
etregaram	entregaram	VMIS3P0	entregar
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
almas	almas	NCFP000	alma
ao	ao	SPS00+DA0MS0	a+o
diabo	diabo	NCMS000	diabo
pa	para	SPS00	para
trazerem	trazerem	VMII3P0	trazer
ao	ao	SPS00+DA0MS0	a+o
mundo	mundo	NCMS000	mundo
huma	uma	DI0FS0	um
alma	alma	NCFS000	alma
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
no	no	SPS00+DA0MS0	em+o
progatorio	purgatório	NCMS000	purgatório
mais	mais	CC	mais
perto	perto	RG	perto
de	de	SPS00	de
ver	ver	VMN0000	ver
a	a	SPS00	a
Deus	Deus	NP00000	deus
	,	Fc	,
pois	pois	CS	pois
estas	estas	DD0FP0	este
duas	duas	Z	duas
pesoas	pessoas	NCFP000	pessoa
	,	Fc	,
pa	para	SPS00	para
fazerem	fazerem	VMII3P0	fazer
mal	mal	RG	mal
a	a	SPS00	a
huma	uma	DI0FS0	um
mosa	moça	NCFS000	moça
	,	Fc	,
emtregaram	entregaram	VMIS3P0	entregar
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
almas	almas	NCFP000	alma
ao	ao	SPS00+DA0MS0	a+o
diabo	diabo	NCMS000	diabo
pa	para	SPS00	para
trazerem	trazerem	VMII3P0	trazer
esta	esta	DD0FS0	este
alma	alma	NCFS000	alma
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
no	no	SPS00+DA0MS0	em+o
progatorio	purgatório	NCMS000	purgatório
mais	mais	CC	mais
perto	perto	RG	perto
de	de	SPS00	de
ver	ver	VMN0000	ver
a	a	SPS00	a
Deus	Deus	NP00000	deus
ao	ao	SPS00+DA0MS0	a+o
mundo	mundo	NCMS000	mundo
	,	Fc	,
pa	para	SPS00	para
Com	com	SPS00	com
ella	ela	PP3FS000	ele
presiguirem	perseguirem	VMN03P0	perseguir
a	a	SPS00	a
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
	,	Fc	,
não	não	RN	não
pa	para	SPS00	para
